"List of All Questions","List of All Questions"
"Author Name","Author Name"
"Question","Question"
"Answer","Answer"
"Visibility on Frontend","Visibility on Frontend"
"Edit Answer","Edit Answer"
"There is no Answer","There is no Answer"
"Ask your Question","Ask your Question"
"Your Question","Your Question"
"QUESTIONS & ANSWERS","QUESTIONS & ANSWERS"
"Ask a Question","Ask a Question"
"The question was sent successfully, waiting for admin approval","The question was sent successfully, waiting for admin approval"
"Please check the captcha form","Please check the captcha form"
"Manage Your Answer","Manage Your Answer"
"Product Questions","Product Questions"
"Questions","Questions"
"Is visible","Is visible"