"Ordered Items","Zamówione Produkty"
"Product SKU","SKU"
"Show Report","Pokaż Raport"
"ID","ID"
"SKU","SKU"
"Product Price","Cena Produktu"
"Qty Available","Dostępna Ilość"
"Status","Status"
"Active","Aktywuj"
"No results","Brak wyników"
"by","przez"
"Vendor Rating","Ocena Sprzedawcy"
"My rates","Moje Oceny"
"Supplier Name","Nazwa Dostawcy"
"Rate","Ocena"
"No rates","Brak Ocen"
"rate vendor","oceń sprzedawcę"
"Order ID","ID Zamówienia"
"Rate","Ocena"
"No suppliers to rate","Brak dostawców do oceny"
"Upload Products","Załaduj Produkty"
"Store admin provides various options for the product.","Administrator sklepu oferuje różne opcje dla tego produktu."
"You can upload %d products in a row.","Możesz przesłać %d produktów z rzędu"
"Show instructions","Pokaż instrukcje"
"Your server has disabled option <strong>allow_url_fopen</strong>, it can be problem to download assigned images","Twój serwer ma wyłączoną opcję <strong>allow_url_fopen</strong>, mogą wystąpić problemy z pobraniem obrazów."
"Success count : %d.","Ilość poprawnych prób: %d."
"Click here for full report","Kliknij tutaj, aby pobrać pełny raport"
"Product ID","ID Produktu"
"Product Name","Nazwa Produktu"
"Failed count : %d.","Błędna liczba: %d"
"Line #","Linia #"
"Field","Pole"
"Message","Wiadomość"
"Start Import","Rozpocznij Importowanie"
"Download","Pobierz"
"click","kliknij"
"Create Invoice for Order","Stwórz Fakturę dla Zamówienia"
"Order Date","Data Zamówienia"
"Order Status","Status Zamówienia"
"Account Information","Informacje o koncie"
"Customer Name","Nazwa Klienta"
"Billing Address","Adres Faktury"
"Shipping Address","Adres Dostawy"
"Items to Invoice","Pozycje Faktury"
"Product","Produkt"
"Available for Invoice","Dostępne Ilości na Fakturze"
"Qty","Ilość"
"Notify Customer","Powiadom Klienta"
"Save Invoice","Zapisz Fakturę"
"Shipment for Order","Wysyłka dla Zamówienia"
"Order Information","Informacje o Zamówieniu"
"Order Date","Data zamówienia"
"Order Status","Status Zamówienia"
"Customer Name","Nazwa Klienta"
"Tracking Codes","Kod Śledzenia"
"Carrier","Przewoźnik"
"Title","Tytuł"
"Number","Liczba"
"Print Label","Drukuj Etykiete"
"Qty Ordered","Zamówiona Ilość"
"Qty to Ship","Liczba do wysyłki"
"Invoices","Faktury"
"View","Widok"
"Orders","Zamówienia"
"Filter","Filtry"
"Order #","Zamówienie #"
"Purchased On","Kupione w"
"Bill to Name","Nabywca"
"Ship to Name","Adres do Wysyłki"
"Income","Dochód"
"Ship","Dostawa"
"Order","Zamówienie"
"Shipments","Przesyłki"
"Quick Create Associated Product","Szybkie Tworzenie Powiązanych Produktów"
"Remove Product","Usuń Produkt"
"Create Product Settings","Utwórz Ustawienia Produktu"
"Attribute Set","Ustaw Atrybuty"
"Product Type","Typ Produktu"
"label","etykieta"
"Continue","Kontynuuj"
"Product Attributes","Atrybuty Produktu"
"Save Product","Zapisz Produkt"
"Search by Status","Wyszukaj po Statusie"
"Inactive","Nieaktywny"
"Product Price","Cena Produktu"
"Qty Available","Dostępna Ilość"
"Associated Products","Produkty Powiązane"
"Activate","Aktywuj"
"Deactivate","Dezaktywuj"
"Order Totals","Podsumowanie"
"Export to CSV","Eksportuj do pliku CSV"
"Period","Przedział"
"Qty Sold","Ilość Sprzedana"
"Net Income","Przychód Netto"
"Subtotal","Subtotal"
"Total","Suma"
"Stock Qty","Dostępna Ilość Produktów"
"No records found.","Nie znaleziono wyników."
"Manage Shipping Methods","Zarządzanie Opcjami Dostawy"
"Flat Rate","Stała Stawka"
"Handling Fee","Opłata Manipulacyjna"
"Table Rate","Tabela Opłat"
"Default Handling Fee","Podstawowa Opłata Manipulacyjna"
"Condition","Stan"
"Weight vs. Destination","Waga w zależności od Miejsca Dostawy"
"Price vs. Destination","Cena w zależności od Miejsca Dostawy"
"# of Items vs. Destination","# Produktów w zależności od Miejsca Dostawy"
"Upload your file","Załaduj Swój Plik"
"Free Shipping","Darmowa Dostawa"
"Save Settings","Zapisz ustawienia"
"Manage Profile Info","Zarządzaj Ustawieniami Profilu"
"Description","Opis"
"Profile Page Enabled","Strona Profilu Aktywna"
"Save","Zapisz"
"Waiting for review by admin","Oczekiwanie na przegląd przez Administratora"
"Title","Tytuł"
"Clear text","Wyczyść tekst"
"Create Shipment for Order","Utwórz Opcje Dostawy dla Zamówienia"
"Add Tracking Code","Dodaj Kod Śledzenia Przesyłki"
"Number","Liczba"
"Carrier","Dostawca"
"Product","Produkt"
"Available for Shipment","Dostępne do Zamówienia"
"Qty to Ship","Ilość do Dostawy"
"Notify Customer","Powiadom Klienta"
"Save Shipment","Zapisz Dostawę"
"Your Supplier profile changes were rejected by admin.","Zmiany w profilu dostawcy zostały odrzucone przez Administratora"
"Admin message","Wiadomość Administratora"
"Toggle navigation","Zmień widok"
"Import","Importuj"
"Products","Produkty"
"Orders","Zamówienia"
"My Profile Page","Mój Profil"
"Notifications","Powiadomienia"
"Shipping Methods","Opcje Dostawy"
"Bestsellers","Bestsellery"
"Most Viewed","Najchętniej Oglądane"
"Low Stock","Niedostępny na magazynie"
"My Merchant Page","Profil Dostawcy"
"Products Name","Nazwy Produktów"
"ID","ID"
"From","Od "
"To","Do "
"Pending","Oczekujący"
"Disapproved","Odrzucony"
"Day","Dzień"
"Month","Miesiąc"
"Year","Rok"
"Your search returns no results.","Brak wyników wyszukiwania."
"Autoincrement ID","Autoincrement ID"
"Search by Name","Wyszukaj po Nazwie"
"Edit","Edytuj"
"Row Total","Suma"
"Item Status","Status zamówienia"
"Shipping Number","Numer dostawy"
"Date","Data"
"Action","Akcja"
"Tracking Number","Numer przesyłki"
"Invoice Number","Numer faktury"
"Amount","Ilość"
"No Invoices","Brak faktur"
"Create","Utwórz"
"Most Viewed Products Report","Raport Najchętniej Oglądanych Produktów"
"Number of Views","Liczba wyświetleń"
"Suppliers","Dostawcy"
"Manage Suppliers","Zarządzaj Dostawcami"
"Manage Profile Fields","Zarządzaj Polami Profilu"
"Billing Report","Raport Rozliczeniowy"
"CMinds Marketplace Extension General Settings","CMinds Marketplace Extension Główne Ustawienia"
"CMinds Marketplace Extension Shipping Labels","CMinds Marketplace Extension Etykiety Wysyłki"
"CMinds Marketplace Extension - Supplier grid","CMinds Marketplace Extension - Lista Dostawców"
"CMinds Marketplace Extension - Supplier Custom Fields Grid","CMinds Marketplace Extension - Lista Dodatkowych Pól Formularza"
"CMinds Marketplace Extension - Billling Grid","CMinds Marketplace Extension - Lista Płatności"
"Supplier Marketplace","Giełda Dostawców"
"Enabled","Włączone"
"Calculate shipping price based on","Przelicz cenę dostawy opartej na"
"Title","Tytuł"
"Shipping cost for non supplier products","Cena dostawy produktów innych niż produkty dostawcy"
"Default shipping cost if supplier does not set shipping prices","Domyślne koszy dostawy, jeśli dostwaca ich nie określił"
"Minimum price for supplier shipped products","Minimalna cena dla zamawianych produktów"
"Displayed error message","Wyświetlony komunikat o błędzie"
"Ship to applicable countries","Wysyłka do wszystkich krajów"
"Ship to specific countries","Wysyłka do określonych krajów"
"Show method if not applicable","Pokaż metodę jeśli nie dotyczy"
"Sort order","Sortowanie po"
"Configuration","Konfiguracja"
"Pricing","Wycena"
"Default percentage fee","Domyślna opłata procentowa"
"Notify when supplier changed his profile","Powiadom kiedy dostawca dokona zmian w swoim profilu"
"Notify supplier when his profile was approved","Powiadom dostawcę kiedy jego profil zostanie zaakceptowany"
"Presentation","Prezentacja"
"Allow to create configurable products","Zezwalaj na tworzenie produktów konfigurowalnych"
"Enable supplier pages","Włącz strony dostawcy"
"Add 'Sold by' option on product page","Dodaj na stronie produktu opcję 'Sprzedane'"
"Enable supplier rating","Włącz oceny dostawców"
"Allow supplier to manage shipping costs","Zezwól dostawcom modyfikować kosztami dostaw"
"Allow to send emails to customers if supplier create a shipment","Zezwól na wysyłanie emaili jeśli dostawca przygotuje dostawę"
"Allow to send emails to customers if supplier create a invoice","Zezwól na wysyłanie emaili jeśli dostawca przygotuje fakturę"
"CSV Import","Import pliku CSV"
"Enable CSV import","Włącz import pliku CSV"
"Send a notification when supplier uploads the products","Wysyłaj powiadomienia jeśli dostawca doda produkty"
"How many product can be imported","Ile produktów może być importowane"
"Shipping Labels","Etykiety Wysyłki"
"Custom Label","Etykiety Niestandardowe"
"Number down","Liczba w pionie"
"Number across","Liczba w poziomie"
"Page Height","Wysokość Strony"
"Page Width","Szerokość Strony"
"Label Width","Szerokość Etykiety"
"Label Height","Wysokość Etykiety"
"Vertical pitch","Skok Pionowy"
"Horizontal pitch","Skok Poziomy"
"Top margin","Górny Margines"
"Side margin","Boczny Margines"
"Top padding","Top padding"
"Left padding","Left padding"
"Font Size","Wielkość Czcionki"
"DHL Label","Etykieta DHL"
"Fedex Label","Etykieta Fedex"
"UPS Label","Etykieta UPS"
"USPS Label","Etykieta USPS"
"DHLint Label","Etykieta DHLint"
"Profile waiting for approval","Profil oczekuje na akceptację"
"Add New Supplier","Dodaj dostawcę"
"Supplier","Dostawcy"
"Supplier - Custom Profile Fields","Dostawcy - Niestandardowe Pola Profilu"
"Must be approved","Musi być zaakceptowany"
"Label","Etykieta"
"Type","Typ"
"Required","Wymagany"
"Must be Approved","Musi być zaakceptowany"
"Is System","Systemowy"
"Created At","Utworzony w"
"Action","Akcja"
"Edit","Edytuj"
"Details","Szczegóły"
"Description","Opis"
"Options","Opcje"
"Add New","Dodaj Nowe"
"Payed Amount","Zapłacona Kwota"
"Payed Date","Data Płatności"
"Owing","Pozostała Kwota"
"Billing list","Lista płatności"
"Custom Field","Pole Niestandardowe"
"New","Nowe"
"Customer View","Widok Klienta"
"Shipping Costs","Koszty Dostaw"
"Sold Products","Sprzedane Produkty"
"Supplier Profile","Profil Dostawcy"
"Customer Rates","Oceny Klientów"
"Allowed Categories","Dozwolone Kategorie"
"Sales Percentage Fee","Procentowa Opłata od Sprzedaży"
"Flat rate","Stała Stawka"
"Table rate","Tabela Opłat"
"Freeshipping","Darmowa dostawa"
"Upload CSV file","Załaduj plik CSV"
"Delete Supplier","Usuń Dostawcę"
"Save Supplier","Zapisz Dostawcę"
"Save and Continue Edit","Zapisz i Kontynuuj Edytowanie"
"Product name","Nazwa Produktu"
"Quantity","Ilość"
"Purchase On","Zakupione w"
"Shipped to Name","Nazwa Kupującego"
"Subtotal","Subtotal"
"Net Income","Przychód Netto"
"View Order","Podgląd Zamówienia"
"Supplier Profile Configuration","Konfiguracja Profilu Dostawcy"
"Approved","Zatwierdzony"
"Remark","Uwagi"
"Supplier Profile Info","Informacje o Profilu Dostawcy"
"Profile Enabled","Profil Aktywny"
"Supplier Profile Custom Fields","Niestandardowe Pola Profilu Dostawcy"
"Supplier Profile Info Waiting for Approval","Informacje o Profilu Dostawcy Oczekują na Zatwierdzenie"
"Supplier Profile Custom Fields Waiting for Approval","Niestandardowe Pola Profilu Dostawcy Oczekują na Zatwierdzenie"
"Customer ID","ID Klienta"
"Voted On","Oceniony w"
"Category Name","Nazwa Kategorii"
"1. Upload images needed for products","1. Załaduj zdjęcia dla tych produktów"
"2. Upload CSV","2. Załaduj plik CSV"
"Select Attributes Set","Wybierz Grupę Atrybutów"
"CSV schema.","plik CSV."
"Too many products added to import.","Zbyt dużo produktów dodano do zaimportowania."
"Attributes doesn't match all required attributes. Missing attribute : ","Atrybuty nie zawierają wszystkich wymaganych pól. Brakujące pole : "
"Attribute Set don\'t exist","Grupa Atrybutów nie istnieje"
"Value for attribute : ","Wartość atrybutu : "
" is not valid"," jest niepoprawna"
"No categories found","Nie znaleziono kategorii"
"Product does not exists","Produkt nie istnieje"
"No valid category","Brak poprawnej kategorii"
" is not valid. Should be numeric."," jest niepoprawna. Wartość powinna być liczbowa."
"Search by Name or SKU","Wyszukaj po nazwie lub sku"
"Order List","Lista zamówień"
"Import Shipping","Import Wysyłki"
"My Supplier Page","Moja strona dostawcy"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""

