"Dashboard","Panel klienta"
"Revenues","Przychody"
"Average Revenues Per Order","Średnie Przychody Z Zamówienia"
"Items Sold","Produkty Sprzedane"
"Number of Items Sold","Liczba Sprzedanych Produktów"
"Home","Strona Główna"
"Add a Product","Dodaj Produkt"
"Product List","Lista Produktów"
"Settings","Ustawienia"
"Reports","Raporty"
"Back to Home Page","Powrót do Strony Głównej"
"Create an Account","Utwórz Konto"
"Personal Information","Informacje Osobiste"
"Email Address","Adres Email"
"Select customer group","Wybierz grupę klienta"
"Customer Group","Grupa Klienta"
"Sign Up for Newsletter","Zapisz Się Do Newslettera"
"Address Information","Dane Kontaktowe"
"Company","Firma"
"Telephone","Telefon"
"Street Address","Ulica"
"City","Miasto"
"State/Province","Województwo"
"Please select region, state or province","Proszę wybrać nazwę województwa"
"Street Address %s","Ulica %s"
"Zip/Postal Code","Kod Pocztowy"
"Country","Kraj"
"Login Information","Informacje Logowania"
"Password","Hasło"
"Confirm Password","Potwierdź Hasło"
"* Required Fields","* Pola Wymagane"
"Submit","Zatwierdź"
"Back","Powrót"
"Log In","Zaloguj Się"
"Sorry","Przepraszamy"
"It looks like you are logged in, but you do not have access to this page. Please contact website administrator.","Wygląda na to, iż jesteś zalogowany, ale nie masz dostępu do tej strony. Skontaktuj się z Administratorem strony."
"Sign In","Zarejestruj Się"
"Add Product","Dodaj Produkt"
"Product Images","Zdjęcia Produktu"
"Select and Upload Image","Wybierz i Załaduj Zdjęcia"
"Product Categories","Kategorie Produktu"
"Save Product","Zapisz Produkt"
"Edit Product","Edytuj Produkt"
"Notify Admin About Change","Powiadom Administratora o Zmianach"
"Name","Nazwa"
"Product SKU","SKU"
"Quantity Sold","Sprzedana Ilość"
"Subtotal","Subtotal"
"Show Report","Pokaż Raport"
"List of All Products","Lista Wszystkich Produktów"
"ALL","WSZYSTKO"
"ACTIVE","AKTYWNY"
"PENDING","OCZEKUJĄCY"
"INACTIVE","NIEAKTYWNY"
"DISAPPROVED","ODRZUCONY"
"ID","ID"
"SKU","SKU"
"Product Price","Cena Produktu"
"Status","Status"
"Actions","Akcje"
"Activate","Aktywuj"
"Deactivate","Dezaktywuj"
"Preview","Przegląd"
"Active","Aktywuj"
"First Name","Imię"
"Last Name","Nazwisko"
"Retype Password","Powtórz Hasło"
"Create Account","Utwórz Konto"
"Send notification when my products was ordered","Wyślij powiadomienie kiedy produkt został zamówiony"
"Send notification when my products was approved by admin","Wyślij powiadomienie kiedy produkt został zatwierdzony przez Administratora"
"Save Settings","Zapisz Zmiany"
"No results","Brak wyników"
"Short Description","Krótki Opis"
"Detailed Description","Opis Szczegółowy"
"Price","Cena"
"Special Price","Cena Promocyjna"
"Special Price From","Cena Promocyjna Od"
"Special Price To","Cena Promocyjna Do"
"QTY Available","Dostępna Ilość"
"Product Weight","Waga Produktu"
"Supplier Products","Produkty Dostawców"
"Suppliers Item Ordered","Zamówione Przedmioty Dostawców"
"CMinds Supplier Frontend Uploader Extension - General Settings","CMinds Supplier Frontend Uploader Extension - Główne Ustawienia"
"CMinds Supplier Frontend Uploader Extension - Products Settings","CMinds Supplier Frontend Uploader Extension - Ustawienia Produktów"
"CMinds Supplier Frontend Uploader Extension - Products Created by Suppliers","CMinds Supplier Frontend Uploader Extension - Produkty Utworzone przez Dostawców"
"CMinds Supplier Frontend Uploader Extension - Products Created By Suppliers","CMinds Supplier Frontend Uploader Extension - Produkty Utworzone przez Dostawców"
"Supplier Frontend Product Uploader","Supplier Frontend Product Uploader"
"Configuration","Konfiguracja"
"Module enabled","Moduł włączony"
"Allow customer to select customer group in the registration","Zezwalaj klientom na wybór grupy klientów podczas rejestracji"
"Registration and Login","Rejestracja i Logowanie"
"Use separated login page","Używaj dedykowanej strony do logowania"
"Allow suppliers to register","Zezwalaj dostawcom na rejestrację"
"Group of registered supplier","Grupa zarejestrowanych dostawców"
"Presentation","Prezentacja"
"Link label in customer account panel","Nazwa linka do profilu w panelu klienta"
"Header in Supplier Panel","Nagłówek w Panelu Dostawcy"
"Footer in Supplier Panel","Stopka w Panelu Dostawcy"
"Include jQuery","Dołącz jQuery"
"Suppliers Group","Grupa Dostawców"
"Supplier group","Grupa Dostawcy"
"Supplier group which can edit own products","Grupa Dostawcy która może edytować swoje produkty"
"Suppliers Notifications","Powiadomienia Dostawcy"
"Notify supplier when product was approved","Powiadom dostawcę kiedy produkt zostanie zaakceptowany"
"Email title when product was approved","Tytuł emaila dotyczącego akceptacji produktu"
"Email text on product approvation","Treść maila dotyczącego akceptacji produktu"
"Notify supplier when product was ordered","Powiadom dostawcę kiedy produkt zostanie zamówiony"
"Email title when product was ordered","Tytuł emaila dotyczącego zamówienia produktu"
"Email text on product was ordered","Treść emaila dotyczącego zamówienia produktu"
"Show prices in the built in email when the supplier's product was ordered","Pokaż ceny we wbudowanym e-mailu, gdy zamówiono produkt dostawcy"
"Products Settings","Ustawienia Produktów"
"Adding Products","Dodawanie Produktów"
"Attributes set","Zbiór Atrybutów"
"Maximum allowed images","Maksymalna liczba zdjęć"
"Product tax class","Grupa podatkowa produktu"
"Supplier can define SKU","Dostawca może definiować SKU"
"Auto increment SKU number","Automatyczne ustawianie numeru SKU"
"Allowed","Dozwolone"
"Not allowed","Niedozwolone"
"Don't show","Nie pokazuj"
"Show Custom","Pokaż niestandardowe"
"Show Default","Pokaż domyślne"
"Approve","Zatwierdź"
"Disapprove","Odrzuć"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"New Product","Nowy Produkt"
"Use Existing Product","Użyj istniejącego"
"SKU Configuration","Konfiguracja SKU"
"Qty for Item's Status to Become Out of Stock", "Ilość, dla której status produktu jest niedostępny"
"Qty Uses Decimals","Qty Uses Decimals"
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Backorders","Backorders"
"Notify for Quantity Below","Notify for Quantity Below"
"Enable Qty Increments","Enable Qty Increments"
"More Actions","Więcej akcji"
"Delete","Usuń"
"Clone","Sklonuj"
"Preview","Podgląd"
"Configurable Attributes","Atrybuty konfigurowalne"
"I agree to the <a href=""%s"" target=""_blank"">terms and conditions</a> of service","I agree to the <a href=""%s"" target=""_blank"">terms and conditions</a> of service"
"Terms of Service Update.","Terms of Service Update."
"I agree","I agree"
"A change in our Terms of Service has been made. Please read them carefully <a href=""%s"" target=""_blank"">here</a>.","A change in our Terms of Service has been made. Please read them carefully <a href=""%s"" target=""_blank"">here</a>."
